Data;IBOV;IDADI;IDAIPCA;IRFM;DOLAR;SELIC;IFIX;
jul/20;-3,44%;0,85%;0,02%;-0,75%;5,15%;0,19%;1,79%;
ago/20;-4,80%;0,53%;-0,31%;-0,56%;3,10%;0,16%;0,46%;
set/20;-0,69%;0,31%;0,91%;-0,33%;2,32%;0,16%;-1,01%;
out/20;15,90%;0,41%;1,81%;0,36%;-7,63%;0,16%;1,51%;
nov/20;9,30%;0,48%;3,52%;1,95%;-2,53%;0,15%;2,19%;
dez/20;-3,32%;0,37%;0,31%;-0,80%;5,37%;0,16%;0,32%;
jan/21;-4,37%;0,51%;-1,01%;-1,18%;0,99%;0,15%;0,25%;
fev/21;6,00%;0,63%;0,43%;-0,84%;3,02%;0,13%;-1,38%;
mar/21;1,94%;0,56%;1,41%;0,84%;-5,16%;0,20%;0,51%;
abr/21;6,16%;0,44%;0,92%;0,20%;-3,17%;0,21%;-1,56%;
mai/21;0,46%;0,55%;0,66%;0,21%;-4,40%;0,27%;-2,19%;
jun/21;-3,94%;0,66%;-0,02%;-0,47%;2,39%;0,31%;2,51%;
jul/21;-2,48%;0,73%;0,06%;-0,60%;0,42%;0,36%;-2,63%;
ago/21;-6,57%;0,73%;0,44%;-0,33%;5,76%;0,43%;-1,24%;
set/21;-6,74%;0,68%;-1,47%;-2,63%;3,74%;0,44%;-1,47%;
out/21;-1,53%;0,65%;3,15%;1,79%;-0,41%;0,49%;-3,64%;
nov/21;2,85%;0,83%;0,79%;1,89%;-0,70%;0,59%;8,78%;
dez/21;6,98%;0,86%;-0,41%;-0,08%;-4,00%;0,77%;-0,99%;
jan/22;0,89%;0,94%;0,66%;0,58%;-4,07%;0,73%;-1,29%;
fev/22;6,06%;1,12%;3,09%;0,84%;-7,81%;0,76%;1,42%;
mar/22;-10,10%;1,02%;1,12%;-0,12%;3,83%;0,93%;1,19%;
abr/22;3,22%;1,23%;1,14%;0,58%;-3,87%;0,83%;0,26%;
mai/22;-11,50%;1,15%;0,17%;0,37%;10,77%;1,03%;-0,88%;
jun/22;4,69%;1,13%;-1,04%;1,15%;-0,95%;1,01%;0,66%;
jul/22;6,16%;1,33%;0,54%;2,05%;-0,18%;1,03%;5,76%;
ago/22;0,47%;1,30%;0,41%;1,40%;4,39%;1,17%;0,49%;
set/22;5,45%;1,20%;0,59%;0,93%;-2,77%;1,07%;0,02%;
out/22;-3,06%;1,14%;-1,23%;-0,66%;0,71%;1,02%;-4,15%;
nov/22;-2,45%;1,25%;0,12%;1,48%;-1,44%;1,02%;0,00%;
dez/22;3,37%;-0,24%;-3,90%;0,84%;-2,27%;1,12%;-1,60%;
jan/23;-7,49%;-0,30%;-1,04%;0,86%;2,13%;1,12%;-0,45%;
fev/23;-2,91%;0,76%;2,33%;2,15%;-2,45%;0,92%;-1,69%;
mar/23;2,50%;0,82%;1,55%;1,10%;-1,57%;1,17%;3,52%;
abr/23;3,74%;1,54%;3,58%;2,20%;1,90%;0,92%;5,43%;
mai/23;9,00%;1,35%;2,88%;2,12%;-5,43%;1,12%;4,71%;
jun/23;3,27%;1,44%;1,42%;0,89%;-1,61%;1,07%;1,33%;
jul/23;-5,09%;1,90%;0,57%;0,76%;3,80%;1,07%;0,49%;
ago/23;0,71%;1,33%;-0,72%;0,17%;1,74%;1,14%;0,20%;
set/23;-2,94%;1,26%;-0,53%;0,37%;1,00%;0,97%;-1,97%;
out/23;12,54%;1,23%;2,43%;2,47%;-2,41%;1,00%;0,66%;
nov/23;5,38%;0,98%;2,44%;1,48%;-1,91%;0,92%;4,25%;
dez/23;-4,79%;1,39%;0,65%;0,67%;2,32%;0,89%;0,67%;
jan/24;0,99%;1,16%;2,40%;0,46%;0,60%;0,97%;0,79%;
fev/24;-0,71%;1,17%;0,53%;0,54%;0,26%;0,80%;1,43%;
mar/24;-1,70%;1,01%;-1,64%;-0,52%;3,51%;0,83%;-0,77%;
abr/24;-3,04%;0,96%;1,37%;0,66%;1,35%;0,89%;0,02%;
mai/24;1,48%;1,07%;-0,63%;-0,29%;6,05%;0,83%;-1,04%;
jun/24;3,02%;1,25%;2,21%;1,34%;1,86%;0,79%;0,52%;
jul/24;6,54%;1,13%;1,20%;0,66%;-0,10%;0,91%;0,86%;
ago/24;-3,08%;1,01%;-0,09%;0,34%;-3,68%;0,87%;-2,58%;
set/24;-1,60%;0,91%;-0,32%;0,21%;6,05%;0,84%;-3,06%;
out/24;-3,12%;0,87%;-0,45%;-0,52%;4,77%;0,93%;-2,11%;
